date;BTC;LTC;DASH;ETH;1INCH;ADA;ARB;ATOM;BNB;DOT;DYDX;IMX;MATIC;SOL;XMR;XRP;ZEC
01.01.2015;317,20;2,7070;1,9522;0;0;0;0;0;0;0;0;0;0;0;0;0,0243;0
02.01.2015;314,70;2,6814;1,9265;0;0;0;0;0;0;0;0;0;0;0;0;0,0244;0
03.01.2015;297,63;2,3849;1,8440;0;0;0;0;0;0;0;0;0;0;0;0;0,0232;0
04.01.2015;272,02;2,0299;1,6488;0;0;0;0;0;0;0;0;0;0;0;0;0,0204;0
05.01.2015;271,63;2,0567;1,6496;0;0;0;0;0;0;0;0;0;0;0;0;0,0196;0
06.01.2015;280,03;2,0811;1,6775;0;0;0;0;0;0;0;0;0;0;0;0;0,0205;0
07.01.2015;290,81;2,1152;1,7234;0;0;0;0;0;0;0;0;0;0;0;0;0,0207;0
08.01.2015;288,09;2,0617;1,7072;0;0;0;0;0;0;0;0;0;0;0;0;0,0208;0
09.01.2015;285,77;1,9848;1,7169;0;0;0;0;0;0;0;0;0;0;0;0;0,0206;0
10.01.2015;280,96;1,7922;1,6736;0;0;0;0;0;0;0;0;0;0;0;0;0,0199;0
11.01.2015;272,24;1,7573;1,6590;0;0;0;0;0;0;0;0;0;0;0;0;0,019;0
12.01.2015;268,68;1,7447;1,6458;0;0;0;0;0;0;0;0;0;0;0;0;0,0186;0
13.01.2015;242,89;1,6236;1,4916;0;0;0;0;0;0;0;0;0;0;0;0;0,018;0
14.01.2015;195,96;1,3277;1,1897;0;0;0;0;0;0;0;0;0;0;0;0;0,0178;0
15.01.2015;201,30;1,2596;1,2067;0;0;0;0;0;0;0;0;0;0;0;0;0,0153;0
16.01.2015;210,40;1,3685;1,3038;0;0;0;0;0;0;0;0;0;0;0;0;0,0167;0
17.01.2015;203,13;1,3258;1,2343;0;0;0;0;0;0;0;0;0;0;0;0;0,0159;0
18.01.2015;206,25;1,3010;1,2677;0;0;0;0;0;0;0;0;0;0;0;0;0,0154;0
19.01.2015;211,97;1,3326;1,3373;0;0;0;0;0;0;0;0;0;0;0;0;0,0158;0
20.01.2015;210,13;1,3220;1,3740;0;0;0;0;0;0;0;0;0;0;0;0;0,016;0
21.01.2015;219,34;1,3459;1,5186;0;0;0;0;0;0;0;0;0;0;0;0;0,0164;0
22.01.2015;231,66;1,4135;1,6232;0;0;0;0;0;0;0;0;0;0;0;0;0,0169;0
23.01.2015;229,97;1,4053;1,5987;0;0;0;0;0;0;0;0;0;0;0;0;0,0169;0
24.01.2015;238,94;1,6364;1,6603;0;0;0;0;0;0;0;0;0;0;0;0;0,0167;0
25.01.2015;249,42;2,0901;1,7691;0;0;0;0;0;0;0;0;0;0;0;0;0,0167;0
26.01.2015;280,37;2,2170;1,9331;0;0;0;0;0;0;0;0;0;0;0;0;0,0168;0
27.01.2015;262,77;1,9988;1,7826;0;0;0;0;0;0;0;0;0;0;0;0;0,0158;0
28.01.2015;246,00;1,9654;1,7050;0;0;0;0;0;0;0;0;0;0;0;0;0,0154;0
29.01.2015;229,53;1,8898;1,6291;0;0;0;0;0;0;0;0;0;0;0;0;0,0148;0
30.01.2015;234,19;1,9370;1,6547;0;0;0;0;0;0;0;0;0;0;0;0;0,0146;0
31.01.2015;224,74;1,9049;1,6408;0;0;0;0;0;0;0;0;0;0;0;0;0,0145;0
01.02.2015;221,57;1,7772;1,7343;0;0;0;0;0;0;0;0;0;0;0;0;0,0142;0
02.02.2015;232,22;1,8139;1,8701;0;0;0;0;0;0;0;0;0;0;0;0;0,0139;0
03.02.2015;234,97;1,8717;1,8511;0;0;0;0;0;0;0;0;0;0;0;0;0,0133;0
04.02.2015;225,54;1,7978;1,8183;0;0;0;0;0;0;0;0;0;0;0;0;0,0133;0
05.02.2015;226,73;1,7698;1,8092;0;0;0;0;0;0;0;0;0;0;0;0;0,014;0
06.02.2015;223,26;1,7833;1,8010;0;0;0;0;0;0;0;0;0;0;0;0;0,015;0
07.02.2015;226,42;1,7671;1,8314;0;0;0;0;0;0;0;0;0;0;0;0;0,0148;0
08.02.2015;225,22;1,7857;1,8290;0;0;0;0;0;0;0;0;0;0;0;0;0,0145;0
09.02.2015;220,47;1,7501;2,0377;0;0;0;0;0;0;0;0;0;0;0;0;0,0142;0
10.02.2015;218,55;1,7361;2,2660;0;0;0;0;0;0;0;0;0;0;0;0;0,0138;0
11.02.2015;220,72;1,7515;2,9041;0;0;0;0;0;0;0;0;0;0;0;0;0,0137;0
12.02.2015;219,89;1,7408;3,0133;0;0;0;0;0;0;0;0;0;0;0;0;0,0139;0
13.02.2015;230,56;1,7985;3,0280;0;0;0;0;0;0;0;0;0;0;0;0;0,0143;0
14.02.2015;247,37;1,8909;2,9396;0;0;0;0;0;0;0;0;0;0;0;0;0,0148;0
